ASGP,10,6,4
GG,10,3,7
PBG,10,8,2
TCK,10,6,4
Player,Round,W,L
GM Arjun Erigaisi,7,3,1
GM Maxime Vachier-Lagrave,7,1,2
GM Amin Tabatabaei,7,2,1
GM Aravindh Chithambaram,7,2,0
GM Levon Aronian,7,2,0
GM Alexey Sarana,7,0,2
GM Vidit Gujrathi,7,0,2
GM Parham Maghsoodloo,7,1,3
Player,Round,W,L
GM D. Gukesh,13,5,1
GM R. Praggnanandhaa,13,6,2
GM Arjun Erigaisi,13,2,4
GM P. Harikrishna,13,3,3
GM Leon Mendonca,13,1,4
GM Wei Yi,13,1,0
GM Anish Giri,13,2,1
GM Vincent Keymer,13,2,3
GM Jorden Van Foreest,13,0,2
GM Alexey Sarana,13,1,3
GM Fabiano Caruana,13,2,3
GM N. Abdusattorov,13,4,1
GM Max Warmerdam,13,2,6
GM Vladimir Fedoseev,13,5,3
Team,M,W,L
LSG,12,5,7
KKR,13,5,6
GT,12,9,3
MI,13,8,5
DC,13,6,6
RR,14,4,10
RCB,12,8,3
SRH,12,4,7
CSK,13,3,10
PBKS,12,8,3
